dummy,affinis,auricomus,bimaculatus,citrinus,griseocollis,impatiens,pensylvanicus,rufocinctus,vagans
1,0,0,1,0,0,40,0,0,21
2,5,11,10,0,28,53,1,1,14
3,0,0,14,0,0,6,2,0,0
4,1,5,0,7,9,47,0,2,8
5,1,24,5,0,6,11,0,1,1
6,0,4,0,0,0,0,0,0,0
7,3,0,0,2,3,73,0,1,2
8,0,2,0,2,15,105,0,2,8
9,0,26,6,1,35,97,0,6,14
10,0,1,30,0,3,24,0,4,3
11,0,23,0,11,9,13,0,13,0
12,1,33,3,2,2,26,0,9,5
13,0,69,16,0,22,0,0,1,3
