collectioncode,site,year,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,plantgenus_cleaned,plantspecies_cleaned,plantgenusspecies_cleaned
2022SpringLakeAugust25,Spring_Lake_Park,2022,griseocollis,1,male,Pycnathemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2022SpringLakeAugust25,Spring_Lake_Park,2022,griseocollis,2,male,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2022SpringLakeAugust25,Spring_Lake_Park,2022,griseocollis,1,female,Rhus,glabra,,,Rhus,glabra,Rhus_glabra
2022SpringLakeAugust25,Spring_Lake_Park,2022,griseocollis,1,female,Ratibida,sp.,,,Ratibida,sp.,Ratibida_sp.
2022SpringLakeAugust9,Spring_Lake_Park,2022,griseocollis,3,male,Ratibida,pinnata,Asteraceae,rat pin,Ratibida,pinnata,Ratibida_pinnata
2022SpringLakeAugust9,Spring_Lake_Park,2022,griseocollis,1,female,Pycnathemum,virginianum,Lamiaceae,pyc vir,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2022SpringLakeAugust9,Spring_Lake_Park,2022,griseocollis,1,female,Pycnathemum,verticillatum,Lamiaceae,hairy mt mint,Pycnanthemum,verticillatum,Pycnanthemum_verticillatum
2022SpringLakeAugust9,Spring_Lake_Park,2022,griseocollis,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,Veronicastrum,virginicum,Veronicastrum_virginicum
2022SpringLakeSeptember12,Spring_Lake_Park,2022,griseocollis,3,male,Solidago,speciosa,Asteraceae,,Solidago,speciosa,Solidago_speciosa
2022RitterAugust25,Ritter_Farm,2022,impatiens,27,female,Impatiens,capensis,,,Impatiens,capensis,Impatiens_capensis
2022RitterAugust25,Ritter_Farm,2022,impatiens,1,male,Impatiens,capensis,,,Impatiens,capensis,Impatiens_capensis
2022RitterAugust25,Ritter_Farm,2022,impatiens,2,female,Echinacea,purpurea,,,Echinacea,purpurea,Echinacea_purpurea
2022RitterAugust25,Ritter_Farm,2022,impatiens,1,female,Eutrochium,maculatum,,,Eutrochium,maculatum,Eutrochium_maculatum
2022RitterAugust25,Ritter_Farm,2022,impatiens,2,female,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2022RitterAugust25,Ritter_Farm,2022,impatiens,2,female,Solanum,dulcamara,,,Solanum,dulcamara,Solanum_dulcamara
2022RitterAugust25,Ritter_Farm,2022,impatiens,1,female,Agastache,sp.,,,Agastache,sp.,Agastache_sp.
2022RitterAugust25,Ritter_Farm,2022,impatiens,3,female,Cirsium,discolor,,,Cirsium,discolor,Cirsium_discolor
2022RitterAugust25,Ritter_Farm,2022,impatiens,1,female,Veronicastrum,virginianum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2022RitterAugust9,Ritter_Farm,2022,impatiens,22,female,Pycnathemum,virginianum,Lamiaceae,mt mint,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2022RitterAugust9,Ritter_Farm,2022,impatiens,5,female,Echinacea,purpurea,Asteraceae,echnacea,Echinacea,purpurea,Echinacea_purpurea
2022RitterAugust9,Ritter_Farm,2022,impatiens,8,female,Veronicastrum,virginicum,Fabaceae,culvers root,Veronicastrum,virginicum,Veronicastrum_virginicum
2022RitterAugust9,Ritter_Farm,2022,impatiens,2,male,Veronicastrum,virginicum,Fabaceae,culvers root,Veronicastrum,virginicum,Veronicastrum_virginicum
2022RitterAugust9,Ritter_Farm,2022,impatiens,9,female,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022RitterAugust9,Ritter_Farm,2022,impatiens,1,female,Cirsium,vulgare,Asteraceae,bull thistle,Cirsium,vulgare,Cirsium_vulgare
2022RitterAugust9,Ritter_Farm,2022,impatiens,2,female,Ratibida,pinnata,Asteraceae,rat pin,Ratibida,pinnata,Ratibida_pinnata
2022RitterAugust9,Ritter_Farm,2022,impatiens,2,female,Verbena,stricta,,,Verbena,stricta,Verbena_stricta
2022RitterAugust9,Ritter_Farm,2022,impatiens,1,female,NA,NA,,,NA,,NA
2022RitterAugust9,Ritter_Farm,2022,impatiens,1,female,Eutrochium,maculatum,Asteraceae,joe pye,Eutrochium,maculatum,Eutrochium_maculatum
2022RitterJuly7,Ritter_Farm,2022,impatiens,6,female,Sorbaria,sorbifolia,Rosaceae,false spirea,Sorbaria,sorbifolia,Sorbaria_sorbifolia
2022SpringLakeAugust25,Spring_Lake_Park,2022,impatiens,21,female,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2022SpringLakeAugust25,Spring_Lake_Park,2022,impatiens,7,male,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2022SpringLakeAugust25,Spring_Lake_Park,2022,impatiens,13,female,Lezpedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2022SpringLakeAugust25,Spring_Lake_Park,2022,impatiens,2,female,Silphium,perfoliatum,,,Silphium,perfoliatum,Silphium_perfoliatum
2022SpringLakeAugust25,Spring_Lake_Park,2022,impatiens,2,female,Physotegia,virginiana,,,Physotegia,virginiana,Physotegia_virginiana
2022SpringLakeAugust25,Spring_Lake_Park,2022,impatiens,1,female,Veronicastrum,virginianum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2022SpringLakeAugust25,Spring_Lake_Park,2022,impatiens,1,female,NA,NA,,,NA,,NA
2022SpringLakeAugust9,Spring_Lake_Park,2022,impatiens,6,female,Veronicastrum,virginicum,Fabaceae,culvers root,Veronicastrum,virginicum,Veronicastrum_virginicum
2022SpringLakeAugust9,Spring_Lake_Park,2022,impatiens,2,male,Veronicastrum,virginicum,Fabaceae,culvers root,Veronicastrum,virginicum,Veronicastrum_virginicum
2022SpringLakeAugust9,Spring_Lake_Park,2022,impatiens,1,female,Desmodium,canadense,Fabaceae,tick trefoil,Desmodium,canadense,Desmodium_canadense
2022SpringLakeAugust9,Spring_Lake_Park,2022,impatiens,1,male,Ratibida,pinnata,Asteraceae,rat pin,Ratibida,pinnata,Ratibida_pinnata
2022SpringLakeAugust9,Spring_Lake_Park,2022,impatiens,1,female,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022SpringLakeSeptember12,Spring_Lake_Park,2022,impatiens,1,female,Solidago,canadensis,Asteraceae,,Solidago,canadensis,Solidago_canadensis
2022SpringLakeSeptember12,Spring_Lake_Park,2022,impatiens,3,male,Solidago,canadensis,Asteraceae,,Solidago,canadensis,Solidago_canadensis
2022SpringLakeSeptember12,Spring_Lake_Park,2022,impatiens,9,female,Solidago,speciosa,Asteraceae,,Solidago,speciosa,Solidago_speciosa
2022SpringLakeSeptember12,Spring_Lake_Park,2022,impatiens,57,male,Solidago,speciosa,Asteraceae,,Solidago,speciosa,Solidago_speciosa
2022SpringLakeSeptember12,Spring_Lake_Park,2022,impatiens,1,female,Solidago,rigida,Asteraceae,,Solidago,rigida,Solidago_rigida
2022SpringLakeSeptember12,Spring_Lake_Park,2022,impatiens,2,male,Solidago,rigida,Asteraceae,,Solidago,rigida,Solidago_rigida
2022RitterAugust9,Ritter_Farm,2022,pensylvanicus,1,female,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022RitterJuly7,Ritter_Farm,2022,pensylvanicus,2,female,Sorbaria,sorbifolia,Rosaceae,false spirea,Sorbaria,sorbifolia,Sorbaria_sorbifolia
2022RitterAugust9,Ritter_Farm,2022,rufocinctus,1,female,Ratibida,pinnata,Asteraceae,rat pin,Ratibida,pinnata,Ratibida_pinnata
