collectioncode,site,year,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,plantgenus_cleaned,plantspecies_cleaned,plantgenusspecies_cleaned
2023SpringLakeAugust4,Spring_Lake_Park,2023,impatiens,1,female,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust4,Spring_Lake_Park,2023,impatiens,2,male,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeAugust4,Spring_Lake_Park,2023,impatiens,1,male,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust4,Spring_Lake_Park,2023,bimaculatus,1,male,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeAugust4,Spring_Lake_Park,2023,bimaculatus,1,female,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust4,Spring_Lake_Park,2023,bimaculatus,1,male,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust4,Spring_Lake_Park,2023,griseocollis,1,female,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust4,Spring_Lake_Park,2023,griseocollis,1,male,Liatris,pycnostachya,,,Liatris,pycnostachya,Liatris_pycnostachya
2023SpringLakeAugust4,Spring_Lake_Park,2023,auricomus,28,female,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023SpringLakeAugust4,Spring_Lake_Park,2023,auricomus,1,female,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeAugust4,Spring_Lake_Park,2023,auricomus,1,female,Desomdium,canadense,,,Desmodium,canadense,Desmodium_canadense
2023SpringLakeAugust4,Spring_Lake_Park,2023,auricomus,1,male,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023SpringLakeAugust4,Spring_Lake_Park,2023,auricomus,2,male,perching,,,,patrolling_or_perching,patrolling_or_perching,patrolling_or_perching
2023SpringLakeAugust4,Spring_Lake_Park,2023,vagans,1,female,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023SpringLakeAugust4,Spring_Lake_Park,2023,vagans,1,female,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust4,Spring_Lake_Park,2023,vagans,1,male,Monarda,fistuloa,,,Monarda,fistulosa,Monarda_fistulosa
2023SpringLakeAugust4,Spring_Lake_Park,2023,vagans,2,male,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust4,Spring_Lake_Park,2023,rufocinctus,1,male,Ratibida,pinnata,,,Ratibida,pinnata,Ratibida_pinnata
2023SpringLakeAugust4,Spring_Lake_Park,2023,rufocinctus,2,male,perching,,,,patrolling_or_perching,patrolling_or_perching,patrolling_or_perching
2023SpringLakeAugust4,Spring_Lake_Park,2023,rufocinctus,4,female,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeAugust4,Spring_Lake_Park,2023,rufocinctus,1,female,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust4,Spring_Lake_Park,2023,rufocinctus,1,male,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeAugust4,Spring_Lake_Park,2023,citrinus,1,male,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeAugust4,Spring_Lake_Park,2023,citrinus,1,male,Pycnanthemum,sp.,,,Pycnanthemum,sp.,Pycnanthemum_sp.
2023SpringLakeAugust4,Spring_Lake_Park,2023,affinis,1,female,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023RitterAugust17,Ritter_Farm,2023,impatiens,8,female,Echinacea,purpurea,,,Echinacea,purpurea,Echinacea_purpurea
2023RitterAugust17,Ritter_Farm,2023,impatiens,14,female,Pycnanthemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023RitterAugust17,Ritter_Farm,2023,impatiens,5,female,Veronia,missurica,,,Vernonia,missurica,Vernonia_missurica
2023RitterAugust17,Ritter_Farm,2023,impatiens,1,female,Ratibida,pinnata,,,Ratibida,pinnata,Ratibida_pinnata
2023RitterAugust17,Ritter_Farm,2023,impatiens,2,female,Monarda,fistulsoa,,bee balm,Monarda,fistulosa,Monarda_fistulosa
2023RitterAugust17,Ritter_Farm,2023,impatiens,3,female,Heliopsis,helianthoides,,,Heliopsis,helianthoides,Heliopsis_helianthoides
2023RitterAugust17,Ritter_Farm,2023,impatiens,2,female,Sonchus,oleraceus,,sow thistle,Sonchus,oleraceus,Sonchus_oleraceus
2023RitterAugust17,Ritter_Farm,2023,impatiens,2,female,Solidago,canadensis,,Sol can,Solidago,canadensis,Solidago_canadensis
2023RitterAugust17,Ritter_Farm,2023,impatiens,1,female,Rudbeckia,hirta,,Rud hirt,Rudbeckia,hirta,Rudbeckia_hirta
2023RitterAugust17,Ritter_Farm,2023,impatiens,2,male,Echinacea,purpurea,,,Echinacea,purpurea,Echinacea_purpurea
2023RitterAugust17,Ritter_Farm,2023,impatiens,34,male,Pycnanthemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023RitterAugust17,Ritter_Farm,2023,impatiens,3,male,Veronia,missurica,,,Vernonia,missurica,Vernonia_missurica
2023RitterAugust17,Ritter_Farm,2023,impatiens,2,male,perching,,,,patrolling_or_perching,patrolling_or_perching,patrolling_or_perching
2023RitterAugust17,Ritter_Farm,2023,impatiens,5,male,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023RitterAugust17,Ritter_Farm,2023,impatiens,2,male,Heliopsis,helianthoides,,,Heliopsis,helianthoides,Heliopsis_helianthoides
2023RitterAugust17,Ritter_Farm,2023,impatiens,3,male,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2023RitterAugust17,Ritter_Farm,2023,impatiens,4,male,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023RitterAugust17,Ritter_Farm,2023,impatiens,2,female,Oxalis,dillenii,,,Oxalis,dillenii,Oxalis_dillenii
2023RitterAugust17,Ritter_Farm,2023,impatiens,2,female,Eutrochium,purpureum,,,Eutrochium,purpureum,Eutrochium_purpureum
2023RitterAugust17,Ritter_Farm,2023,impatiens,1,female,Cirsium,sp.,,,Cirsium,sp.,Cirsium_sp.
2023RitterAugust17,Ritter_Farm,2023,impatiens,1,male,Berteroa,incana,,,Berteroa,incana,Berteroa_incana
2023RitterAugust17,Ritter_Farm,2023,impatiens,6,male,Eurtrochium,purpureum,,,Eutrochium,purpureum,Eutrochium_purpureum
2023RitterAugust17,Ritter_Farm,2023,griseocollis,8,male,Echinacea,purpurea,,,Echinacea,purpurea,Echinacea_purpurea
2023RitterAugust17,Ritter_Farm,2023,griseocollis,4,male,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023RitterAugust17,Ritter_Farm,2023,griseocollis,1,male,Veronia,missurica,,,Vernonia,missurica,Vernonia_missurica
2023RitterAugust17,Ritter_Farm,2023,griseocollis,1,male,Pycnanthemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023RitterAugust17,Ritter_Farm,2023,griseocollis,1,male,Cirsium,vulgaris,,,Cirsium,vulgare,Cirsium_vulgare
2023RitterAugust17,Ritter_Farm,2023,auricomus,2,female,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023RitterAugust17,Ritter_Farm,2023,vagans,2,female,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023RitterAugust17,Ritter_Farm,2023,vagans,1,male,perching,,,,patrolling_or_perching,patrolling_or_perching,patrolling_or_perching
2023RitterAugust17,Ritter_Farm,2023,vagans,1,male,Echinacea,purpurea,,,Echinacea,purpurea,Echinacea_purpurea
2023RitterAugust17,Ritter_Farm,2023,vagans,1,male,Pycnanthemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023RitterAugust17,Ritter_Farm,2023,vagans,1,male,Cirsium,sp.,,,Cirsium,sp.,Cirsium_sp.
2023RitterAugust17,Ritter_Farm,2023,vagans,1,male,Rudbeckia,hirta,,,Rudbeckia,hirta,Rudbeckia_hirta
2023RitterAugust17,Ritter_Farm,2023,vagans,1,female,Cirsium,vulgaris,,,Cirsium,vulgare,Cirsium_vulgare
2023RitterAugust17,Ritter_Farm,2023,citrinus,2,male,Pycnanthemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023RitterAugust17,Ritter_Farm,2023,rufocinctus,1,female,Pycnanthemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023RitterAugust17,Ritter_Farm,2023,rufocinctus,1,male,Eutrochium,purpureum,,,Eutrochium,purpureum,Eutrochium_purpureum
2023SpringLakeAugust17,Spring_Lake_Park,2023,impatiens,1,female,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2023SpringLakeAugust17,Spring_Lake_Park,2023,impatiens,10,male,Solidago ,canadensis,,,Solidago,canadensis,Solidago_canadensis
2023SpringLakeAugust17,Spring_Lake_Park,2023,impatiens,1,male,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust17,Spring_Lake_Park,2023,impatiens,1,female,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeAugust17,Spring_Lake_Park,2023,griseocollis,3,male,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2023SpringLakeAugust17,Spring_Lake_Park,2023,griseocollis,1,male,perching,,,,patrolling_or_perching,patrolling_or_perching,patrolling_or_perching
2023SpringLakeAugust17,Spring_Lake_Park,2023,griseocollis,3,male,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust17,Spring_Lake_Park,2023,griseocollis,1,male,Liatris,ligulistylis,,,Liatris,ligulistylis,Liatris_ligulistylis
2023SpringLakeAugust17,Spring_Lake_Park,2023,griseocollis,1,male,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeAugust17,Spring_Lake_Park,2023,auricomus,5,female,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023SpringLakeAugust17,Spring_Lake_Park,2023,auricomus,6,female,Gentiana ,alba,,,Gentiana,alba,Gentiana_alba
2023SpringLakeAugust17,Spring_Lake_Park,2023,auricomus,1,female,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2023SpringLakeAugust17,Spring_Lake_Park,2023,auricomus,2,male,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2023SpringLakeAugust17,Spring_Lake_Park,2023,auricomus,4,male,perching,,,,patrolling_or_perching,patrolling_or_perching,patrolling_or_perching
2023SpringLakeAugust17,Spring_Lake_Park,2023,auricomus,2,male,Pycnanthemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023SpringLakeAugust17,Spring_Lake_Park,2023,auricomus,3,male,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust17,Spring_Lake_Park,2023,vagans,1,male,Pycnanthemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023SpringLakeAugust17,Spring_Lake_Park,2023,citrinus,4,male,Pycnanthemum,virginianum,,,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023SpringLakeAugust17,Spring_Lake_Park,2023,citrinus,2,male,Liatris,ligulistylis,,,Liatris,ligulistylis,Liatris_ligulistylis
2023SpringLakeAugust17,Spring_Lake_Park,2023,citrinus,3,male,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2023SpringLakeAugust17,Spring_Lake_Park,2023,citrinus,1,male,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeAugust17,Spring_Lake_Park,2023,citrinus,1,male,Silphium,sp.,,,Silphium,sp.,Silphium_sp.
2023SpringLakeAugust17,Spring_Lake_Park,2023,rufocinctus,2,male,Lespedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2023SpringLakeAugust17,Spring_Lake_Park,2023,rufocinctus,4,male,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2023SpringLakeAugust17,Spring_Lake_Park,2023,rufocinctus,5,male,Veronicastrum,virginicum,,,Veronicastrum,virginicum,Veronicastrum_virginicum
2023SpringLakeAugust17,Spring_Lake_Park,2023,rufocinctus,1,male,Silphium,perfoliatum,,,Silphium,perfoliatum,Silphium_perfoliatum
2023SpringLakeAugust17,Spring_Lake_Park,2023,rufocinctus,1,male,Ratibida,pinnata,,,Ratibida,pinnata,Ratibida_pinnata
2024RitterJuly12,Ritter_Farm,2024,impatiens,1,female,Nepeta,cataria,Lamiaceae,catnip,Nepeta,cataria,Nepeta_cataria
2024RitterJuly12,Ritter_Farm,2024,impatiens,1,female,Leonurus,cardiaca,Lamiaceae,Motherwort,Leonurus,cardiaca,Leonurus_cardiaca
2024RitterJuly12,Ritter_Farm,2024,impatiens,2,male,Leonurus,cardiaca,Lamiaceae,Motherwort,Leonurus,cardiaca,Leonurus_cardiaca
2024RitterJuly12,Ritter_Farm,2024,bimaculatus,3,female,Nepeta,cataria,Lamiaceae,Catnip,Nepeta,cataria,Nepeta_cataria
2024RitterJuly12,Ritter_Farm,2024,bimaculatus,1,female,Sobaria,sorbifolia,Rosaceae,Sorbaria sorlaifelia?,Sobaria,sorbifolia,Sobaria_sorbifolia
2024RitterJuly12,Ritter_Farm,2024,bimaculatus,4,female,Leonurus,cardiaca,Lamiaceae,Motherwort,Leonurus,cardiaca,Leonurus_cardiaca
2024RitterJuly12,Ritter_Farm,2024,bimaculatus,1,male,Nepeta,cataria,Lamiaceae,Catnip,Nepeta,cataria,Nepeta_cataria
2024RitterJuly12,Ritter_Farm,2024,bimaculatus,2,male,Leonurus,cardiaca,Lamiaceae,Motherwort,Leonurus,cardiaca,Leonurus_cardiaca
2024RitterJuly12,Ritter_Farm,2024,bimaculatus,1,male,NA,NA,NA,NA,NA,NA,NA_NA
2024RitterJuly12,Ritter_Farm,2024,bimaculatus,1,male,Asclepias,syriaca,Apocynaceae,Common Milkweed,Asclepias,syriaca,Asclepias_syriaca
2024RitterJuly12,Ritter_Farm,2024,griseocollis,1,male,Echinacea,purpurea,Asteraceae,Eastern Purple Coneflower,Echinacea,purpurea,Echinacea_purpurea
2024RitterJuly12,Ritter_Farm,2024,auricomus,1,female,Nepeta,cataria,Lamiaceae,Catnip,Nepeta,cataria,Nepeta_cataria
2024RitterJuly12,Ritter_Farm,2024,vagans,1,female,Nepeta,cataria,Lamiaceae,Catnip,Nepeta,cataria,Nepeta_cataria
2024RitterJuly12,Ritter_Farm,2024,vagans,1,female,Penstemon,sp.,Plantaginaceae,Beardtongue,Penstemon,sp.,Penstemon_sp.
2024RitterJuly12,Ritter_Farm,2024,pensylvanicus,1,female,Nepeta,cataria,Lamiaceae,Catnip,Nepeta,cataria,Nepeta_cataria
2024RitterAugust9,Ritter_Farm,2024,impatiens,80,female,Monarda,fistulosa,Lamiaceae,Wild Bergamont,Monarda,fistulosa,Monarda_fistulosa
2024RitterAugust9,Ritter_Farm,2024,impatiens,1,male,Monarda,fistulosa,Lamiaceae,Wild Bergamont,Monarda,fistulosa,Monarda_fistulosa
2024RitterAugust9,Ritter_Farm,2024,impatiens,3,female,Solidago,canadensis,Asteraceae,Canada Goldenrod,Solidago,canadensis,Solidago_canadensis
2024RitterAugust9,Ritter_Farm,2024,impatiens,3,female,Cirsium,arvense,Asteraceae,Canada Thistle,Cirsium,arvense,Cirsium_arvense
2024RitterAugust9,Ritter_Farm,2024,impatiens,1,male,Cirsium,arvense,Asteraceae,Canada Thistle,Cirsium,arvense,Cirsium_arvense
2024RitterAugust9,Ritter_Farm,2024,impatiens,5,female,Cirsium,discolor,Asteraceae,Field Thistle,Cirsium,discolor,Cirsium_discolor
2024RitterAugust9,Ritter_Farm,2024,impatiens,1,male,Cirsium,discolor,Asteraceae,Field Thistle,Cirsium,discolor,Cirsium_discolor
2024RitterAugust9,Ritter_Farm,2024,impatiens,3,female,Agastache,foeniculum,Lamiaceae,Blue Giant Hyssop,Agastache,foeniculum,Agastache_foeniculum
2024RitterAugust9,Ritter_Farm,2024,bimaculatus,1,female,Cirsium,discolor,Asteraceae,Field Thistle,Cirsium,discolor,Cirsium_discolor
2024RitterAugust9,Ritter_Farm,2024,bimaculatus,4,female,Monarda,fistulosa,Lamiaceae,Wild Bergamont,Monarda,fistulosa,Monarda_fistulosa
2024RitterAugust9,Ritter_Farm,2024,bimaculatus,9,male,Monarda,fistulosa,Lamiaceae,Wild Bergamont,Monarda,fistulosa,Monarda_fistulosa
2024RitterAugust9,Ritter_Farm,2024,bimaculatus,1,male,Cirsium,vulgare,Asteraceae,Bull Thistle,Cirsium,vulgare,Cirsium_vulgare
2024RitterAugust9,Ritter_Farm,2024,griseocollis,15,female,Monarda,fistulosa,Lamiaceae,Wild Bergamont,Monarda,fistulosa,Monarda_fistulosa
2024RitterAugust9,Ritter_Farm,2024,griseocollis,7,male,Monarda,fistulosa,Lamiaceae,Wild Bergamont,Monarda,fistulosa,Monarda_fistulosa
2024RitterAugust9,Ritter_Farm,2024,griseocollis,1,female,NA,NA,NA,NA,NA,NA,NA_NA
2024RitterAugust9,Ritter_Farm,2024,griseocollis,2,female,Cirsium,discolor,Asteraceae,Field Thistle,Cirsium,discolor,Cirsium_discolor
2024RitterAugust9,Ritter_Farm,2024,griseocollis,1,male,Cirsium,discolor,Asteraceae,Field Thistle,Cirsium,discolor,Cirsium_discolor
2024RitterAugust9,Ritter_Farm,2024,auricomus,56,female,Monarda,fistulosa,Lamiaceae,Wild Bergamont,Monarda,fistulosa,Monarda_fistulosa
2024RitterAugust9,Ritter_Farm,2024,auricomus,10,female,Cirsium,discolor,Asteraceae,Field Thistle,Cirsium,discolor,Cirsium_discolor
2024RitterAugust9,Ritter_Farm,2024,auricomus,1,female,Solidago,canadensis,Asteraceae,Canada Goldenrod,Solidago,canadensis,Solidago_canadensis
2024RitterAugust9,Ritter_Farm,2024,auricomus,1,female,Cirsium,vulgare,Asteraceae,Bull Thistle,Cirsium,vulgare,Cirsium_vulgare
2024RitterAugust9,Ritter_Farm,2024,vagans,7,female,Monarda,fistulosa,Lamiaceae,Wild Bergamont,Monarda,fistulosa,Monarda_fistulosa
2024RitterAugust9,Ritter_Farm,2024,vagans,1,male,Monarda,fistulosa,Lamiaceae,Wild Bergamont,Monarda,fistulosa,Monarda_fistulosa
2024RitterAugust9,Ritter_Farm,2024,fervidus,3,male,Monarda,fistulosa,Lamiaceae,Wild Bergamont,Monarda,fistulosa,Monarda_fistulosa
2024RitterAugust9,Ritter_Farm,2024,fervidus,1,male,Leonurus,cardiaca,Lamiaceae,Motherwort,Leonurus,cardiaca,Leonurus_cardiaca
2024RitterAugust9,Ritter_Farm,2024,citrinus,2,male,Cirsium,discolor,Asteraceae,Field Thistle,Cirsium,discolor,Cirsium_discolor
2024RitterAugust9,Ritter_Farm,2024,pensylvanicus,1,female,Cirsium,discolor,Asteraceae,Field Thistle,Cirsium,discolor,Cirsium_discolor
2024RitterAugust9,Ritter_Farm,2024,pensylvanicus,1,female,Monarda,fistulosa,Lamiaceae,Wild Bergamont,Monarda,fistulosa,Monarda_fistulosa
